likes,age,themes,has_question,text
1000,3 years ago,fda_ban,0,"Love how the USA calls it ""lobbying"" instead of corruption lmao."
615,3 years ago,fda_ban,0,Curious note : FDA don't ban sugars but bans products than lead to healthy body
610,3 years ago,fda_ban,0,If the fda doesn’t want you to have it that means that it works
586,3 years ago,fda_ban,0,"When I heard that the FDA wanted to ban it, I knew instantly it would be effective in supporting good health."
574,3 years ago,,0,The fact they’re trying to convert it into a prescription says a lot about it’s potential.
558,5 years ago,dose,1,Fascinating topic... but you forgot to share your personal results!  All we know about your personal experience with it is that you took it.  How long did you take it? How much and when?  With or without food? What did you feel and how soon did you feel it?  What test results showed any changes? Etc?
514,3 years ago,dose,0,It’s amazing how much he can say without really saying anything at all.
372,7 months ago,placebo,1,Where can I buy the so called placebo supplements? That shit seems to work almost always and much better than any longevity molecules ever hyped!
346,5 years ago,timing_protocol,0,"It’s very hard to explain specific results with NMN. It’s something that IMO should be taken for a good length of time. Unfortunately I’m also making sure to not make claims because it’s a supplement that could be misconstrued. So in short, my personal, anecdotal experience has been a much clearer feeling, I seem to be sleeping harder (more efficient perhaps), I definitely am more alert first thing in the morning, very little ramp up period in the morning. I’ll keep everyone posted as time goes on. But this has been a very heavily requested topic. So please understand the goal is to educate and share my experience WHY I am taking it."
344,2 years ago,nmn_vs_nr_nad|age_gate,0,"My dad is 90 years old and is in stage 7 of Alzheimer's disease. At the beginning of this year he was basically an unresponsive zombie. On April 1st I started him on NMN, NR, Resveratrol, Quercetin, Fisetin, and a few other vitamins. Today he is just like he was 4 years ago. The improvement is astonishing. I have to pinch myself every day to make sure it's not a dream. Sorry but trying to outsmart the science doesn't look good on you. And it's not very helpful to the public interest."
319,3 years ago,safety_side_fx|fda_ban,0,"It would be almost criminal at this point if the FDA goes through with this ban. Everyone wants to be more healthy and shouldn't have to be forced to go to a doctor to be prescribed a health supplement, especially one that seems to work well and has not dangerous side effects. This is all about the money."
292,3 years ago,,0,Thank you for exposing this. So sickening. Thank you so much for all you are doing for us out here.
269,3 years ago,fda_ban|authority_trust,0,"Dr Brad, thanks so much for exposing the root of all this ""lobbying"". I used to have a lot of respect for Dr Sinclair, but this isn't good. Since you exposed him on the resveratrol scam I've hardly been seeing much about him and all of a sudden he came up with this again! What a man! Thanks for helping us to know his true colours."
238,2 years ago,authority_trust,0,Everyone should look into David Sinclair being exposed as a snake
213,2 years ago,,0,1 - It appears safe over the short term 2 - No muscle improvement 3 - Unlikely metabolic improvements 4 - Safety concerns over the long term
206,3 years ago,just_take_niacin|dose|evidence_studies|authority_trust|age_gate,0,"I am almost 68 years old, and a lifetime everyday exerciser. I have also been taking 500 mg of niacin daily since the 1990’s. Nevertheless, I still developed edema in my lower extremities over the past few years. In addition, I have been subject to frequent calf muscle pulls since I started playing pickle ball daily about 15 months ago. Then, on October 1, 2022, I started taking one gram each of NMN and resveratrol on a daily basis. What motivated me to take these supplements was a particular Sinclair video where he spoke about the proven(in mice) ability of these supplements to promote growth of new capillaries (angiogenesis). Well, within two weeks of taking these supplements, my edema and calf muscle pulls stopped completely.  That was huge for me. There is no question that these improvements occurred only because of these two supplements in the proper amounts."
203,2 years ago,,0,"I really wanted to see NMN prove itself, especially after all the hype. Thanks for being an honest critic of the research! It is well needed in our day and age.."
198,2 years ago,evidence_studies|benefit_sleep,1,"I appreciate the video but it doesn't seem to address the 'anti-aging' question as mentioned in the title. I don't take NMN as a sports supplement, I am only interested in it's potential effect of helping to repair DNA. Are there any studies which answer this question? Thanks!"
192,4 months ago (edited),just_take_niacin|nmn_vs_nr_nad|dose|price_value,0,"67yo, very fit, I found absolutely no physical benefit from taking NMN and NR (for 1 year) apart from a blood test showing dramatically increased NAD+. (For whatever thats worth). I started taking 500mg niacin which also increased NAD+ but for $4/mo - again - for whatever thats worth."
190,7 months ago,nmn_vs_nr_nad|placebo|evidence_studies|benefit_cognition,0,"As a clinician working with long-COVID and other complex patients, I think this video oversimplifies the study and risks misleading people. This trial does NOT “debunk” NR. What it actually shows is: • NR clearly increases NAD⁺ (so the biological target is real) • primary outcomes were negative for the whole mixed cohort • exploratory data suggested possible benefit over ~10 weeks • and critically — the study did NOT stratify patients by biology (e.g., low vs normal NAD⁺), despite long-COVID being extremely heterogeneous In clinical science, a negative average result in a heterogeneous group does NOT equal “this doesn’t work.” It usually means there are responders and non-responders, and the trial wasn’t designed to identify them. We already learned this in migraine, depression, autoimmune disease, asthma… progress came from subgrouping, not from declaring blanket conclusions. The responsible takeaway is: NR safely raises NAD⁺; it didn’t outperform placebo across everyone; we urgently need subgroup-focused studies (e.g., patients with demonstrably low NAD⁺ or mitochondrial dysfunction) — not all-or-nothing claims. Science deserves nuance. Patients deserve it even more."
177,5 years ago,,0,I find fasting is the best way for me to go! But I’m 64 and reversed my diabetes! Was a diabetic for 15 years and I feel so much better than I did 10 years ago!
163,3 years ago,authority_trust,0,"Yes, I expected this and predicted, exactly, that Sinclair would be behind this so that he can file a patent and make a fortune. I really can't stand that man. He's a real jerk."
159,2 years ago,just_take_niacin|dose|cancer_risk|benefit_energy|benefit_recovery|benefit_joints,0,"As a 53 year old cancer survivor (prostate surgery, and follow up radiation therapy)  I found NMN to be helpful.   I've been on it (500mg a day from Renue by Science) since Dec 2022.   My opinion is that it is essentially just a vitamin, and acts very much in the background.   In fact, it is a type of niacin (vitamin B3).  You can also take nicotinamide, for perhaps a better effect.  The immediate effects I felt was a decrease in muscle and joint stiffness and soreness.   A decrease in inflammation.   Though, perhaps it was working in tandem with other supplements I take.   Hard to say.   I would say that it helped my energy levels enough, that I started running again three months ago."
155,2 years ago,benefit_energy|benefit_recovery,0,"Weird. I am 40, worked out all my life. 1. Took NMN for 8 months and was a beast at the gym. 2. Stoped taking it for 2 months and i felt tired..gym activity went down...i felt old. 3. Took it again....after a while...the beast came back. I love it. I Will keep taking it."
154,2 years ago (edited),dose|safety_side_fx|benefit_skin_hair,0,"I have been on MNM 1000mg, resveratrol 1000mg and Berberine since 7/19 Since then my blood tests are perfect, my blood pressure is 110/70 I’m 70 my grey hair and grey beard has turned to salt and pepper, my A1C is 5.1% down from 6.4% pre-diabetic. I have a feeling of wellness since I started. My weight is 160lbs down from 210lbs. That’s all I can contribute to this video."
146,2 years ago,dose|tmg_methyl|evidence_studies|benefit_energy|benefit_cognition|benefit_skin_hair,1,"Here's a study for you. I've been taking NMN for 11 months. 1g daily along with 1g TMG twice per day. I just turned 65. My results are profound. Eyesight, taste, hearing, sense of touch, sense of smell. All improved. Memory, cognition, ability to multi-task. All improved. I have never in my life been able to focus like I can now. Learning is easy. reading comprehension, very good. For the past few years, when I felt the urge to urinate. I had to drop everything and go NOW. Around 4 months into taking NMN I noticed that was much reduced. In fact I don't have that strong urge any longer. My ability to do tasks that I had been doing for years such as typing, running the machinery in my shop.. all things that were classified as ""muscle memory"". They had all become more difficult. I had to think about doing them or I would not do them correctly. Too many times I pressed the wrong button on a machine, simply due to my ""muscle memory"" being screwed up. No longer. I can type without looking and rapidly. I don't have to think about which buttons to press on my machines.. just like I used to do. One small thing that may not seem important but.. I can now put my pants on without holding on to something, just like I used to do but had not been able to over the past 2 to 3 years. Can I attribute all those ""improvements"" to NMN? Nothing else in my life changed. Same diet, same routine, same bed, same job so.. yes I can. What else? My skin is softer, the age spots on my hands are gone, my energy level is flat out amazing. I lost about 20 pounds without even trying. I feel like my testosterone level is going up. How do I know that? I wake up with a woody every morning. Been a few years (longer actually) since I had that problem. Anyway. there it is. My study."
141,7 months ago,evidence_studies,0,The good news here is that the health of mice improved at some point 😂
127,3 years ago,,0,"They ban anything that has benefits. Meanwhile the government allows McDonalds, Hohos, twinkies, insulin, alcohol, tobacco, Coca Cola, and refined sugars for all!"
123,3 years ago,,0,"It's weird that just because someone is researching stuff as a ""drug"" it becomes illegal to take as a supplement. WTF."
