ID,Quote (verbatim),Words,Emotion,Job to be done,Type,Objection / benefit,Trigger moment,Criteria met,Score,Segment,Use it for
Q001,I get huge side effects from NMN.,7,Fear,Not damage myself,Objection,Side effects,First week on product,SPQ,3,Disconfirmed Buyer,Half-dose ramp-up protocol
Q002,Had to discontinue NMN because it gave me heart palpitations.,10,Fear,Not damage myself,Objection,Cardiac side effect,Week one,SPQ,3,Disconfirmed Buyer,'If you feel off' email; titration guidance
Q003,It gave me insomnia so I stopped taking it.,9,Fear,Sleep properly,Objection,Too stimulating,Third night awake,SPQ,3,Disconfirmed Buyer,Timing guidance: dose before noon
Q004,I wake at 4am and can't get back to sleep.,10,Fear,Sleep properly,Objection,Sleep disruption,"4am, in bed",TSPQ,4,Disconfirmed Buyer,Timing guidance; day-2 email
Q005,I never had worse headaches than when I took NMN.,10,Fear,Not damage myself,Objection,Headaches,After a heart-rate spike at the gym,SPQ,3,Disconfirmed Buyer,Titration content
Q006,I feel sluggish and get terrible headaches.,7,Fear,Get my energy back,Objection,"Feels worse, not better",Morning after dosing,SPQ,3,Disconfirmed Buyer,Start-low protocol
Q007,Left me with serious insomnia!,5,Fear,Sleep properly,Objection,Too stimulating,Day three,SPQ,3,Disconfirmed Buyer,Timing guidance
Q008,"After a month, my brain fog only got worse.",9,Fear,Think clearly at work,Objection,Opposite of the promised effect,"One month in, at work",TSPQ,4,Disconfirmed Buyer,'Five reasons NMN did nothing for you' page
Q009,After two weeks my eyes started itching very badly.,9,Fear,Not damage myself,Objection,Unexpected reaction,Two weeks in,TSPQ,4,Disconfirmed Buyer,Side-effect transparency page
Q010,"I got a horrible breakout on my arms, chest and back.",11,Shame,Look like myself again,Objection,Skin reaction,"Two weeks in, in the mirror",SEPQ,4,Disconfirmed Buyer,Start-at-half protocol
Q011,Quit taking it due to cancer fears.,7,Fear,Not damage myself,Objection,Cancer-growth fear,After reading a study headline,EPQ,3,Evidentialist,Safety page: state what is and isn't known
Q012,I am prone to skin cancer.,6,Fear,Not damage myself,Objection,Personal cancer history,Deciding whether to start,SPQ,3,Cautious first-timer,"Consult-your-doctor language, warmly written"
Q013,I tried all kinds of dosage — meh!,7,Fear,Know I'm taking a real dose,Objection,No agreed dose exists,"A year in, still fiddling",EPQ,3,Evidentialist,Dose-rationale content citing trial doses
Q014,I need a quarter of a capsule or I don't feel right.,12,Fear,Do the protocol correctly,Objection,Needs to titrate down,Morning dose,SEP,3,Sensitive responder,Start-low protocol content
Q015,All the containers were hot. You got me scammed.,9,Anger,Protect the money I already spent,Objection,Shipping heat degrades product,Opening the box,SEPQ,4,Disconfirmed Buyer,Stability claim; 'we tested ours at 40°C'
Q016,Does it get ruined shipped in the hot summer weather?,10,Fear,Protect the money I already spent,Objection,Heat in transit,Waiting on a summer delivery,TSPQ,4,All buyers,Packaging insert; day-0 email
Q017,I didn't know you're supposed to keep it cold.,9,Fear,Protect the money I already spent,Objection,Storage never disclosed,After watching a video post-purchase,EPQ,3,Anxious new buyer,Storage block on the PDP
Q018,Do they melt in your hands?,6,Fear,Protect the money I already spent,Objection,Heat sensitivity,Holding the capsules,SPQ,3,Anxious new buyer,Stability messaging
Q019,Should I not take the one I bought?,8,Fear,Do the protocol correctly,Objection,I may have already ruined it,Watching a video after purchase,EPQ,3,Anxious new buyer,Day-0 email subject line
Q020,Well it looks I've been scammed out of hundreds of dollars.,11,Shame,Avoid getting ripped off,Objection,Bought counterfeit product,Watching a purity-test video,EPQ,3,Counterfeit Cynic,Certificate-led ad; 'here's our batch number'
